velocity,mean_velocity,std_velocity,max_velocity,min_velocity
-0.84282243,-0.7110779,0.11091057,-0.4812361,-0.9367683
-0.7556896,-0.7090591,0.109402575,-0.4812361,-0.9367683
-0.66424376,-0.70722663,0.10937349,-0.4812361,-0.9367683
-0.6521519,-0.7058853,0.11029976,-0.4812361,-0.9367683
-0.6893052,-0.7045555,0.11133547,-0.4812361,-0.9367683
-0.78943664,-0.7036157,0.11165811,-0.4812361,-0.9367683
-0.87132114,-0.70319617,0.11137395,-0.4812361,-0.9367683
-0.89140093,-0.7030179,0.11111144,-0.4812361,-0.9367683
-0.824884,-0.7023638,0.11009226,-0.4812361,-0.9367683
-0.6622216,-0.7022301,0.10994723,-0.4812361,-0.9367683
-0.544339,-0.7036286,0.10987414,-0.4812361,-0.9367683
-0.49922344,-0.70580447,0.10775499,-0.4812361,-0.9367683
-0.52449614,-0.70797753,0.10461687,-0.4812361,-0.9367683
-0.64432997,-0.7101756,0.10185696,-0.4812361,-0.9367683
-0.73734736,-0.71155,0.10142191,-0.4812361,-0.9367683
-0.73252237,-0.71266454,0.10200383,-0.4812361,-0.9367683
-0.69268733,-0.7142149,0.10287923,-0.4812361,-0.9367683
-0.6103769,-0.71561104,0.10305114,-0.4812361,-0.9367683
-0.59297466,-0.7164555,0.10235601,-0.4812361,-0.9367683
-0.6320655,-0.7161085,0.10280252,-0.4812361,-0.9367683
-0.7427971,-0.7152762,0.10364457,-0.4812361,-0.9367683
-0.8638742,-0.713441,0.103952944,-0.4812361,-0.9367683
-0.8603483,-0.71132684,0.101927124,-0.4812361,-0.9367683
-0.8360167,-0.70932287,0.09994328,-0.4812361,-0.9367683
-0.7339348,-0.7077192,0.09853083,-0.4812361,-0.9367683
-0.74463826,-0.7068585,0.09848603,-0.4812361,-0.9367683
-0.75727594,-0.70428485,0.09914434,-0.4812361,-0.9367683
-0.7915436,-0.7015343,0.09954299,-0.4812361,-0.9367683
-0.75232047,-0.69897157,0.09883965,-0.4812361,-0.9367683
-0.6032308,-0.6988052,0.09875673,-0.4812361,-0.9367683
-0.49360064,-0.70207113,0.09824078,-0.4812361,-0.9367683
-0.4812361,-0.7068187,0.09368153,-0.4812361,-0.9367683
-0.559672,-0.7096738,0.08881183,-0.559672,-0.9367683
-0.70446736,-0.7092566,0.08956116,-0.53881645,-0.9367683
-0.75034815,-0.70634735,0.091999106,-0.53881645,-0.9367683
-0.74436873,-0.703817,0.09249262,-0.53881645,-0.9367683
-0.684167,-0.703062,0.09231242,-0.53881645,-0.9367683
-0.6263931,-0.70297605,0.09233197,-0.53881645,-0.9367683
-0.571605,-0.7044211,0.091685236,-0.53881645,-0.9367683
-0.6374397,-0.7062362,0.08991919,-0.53881645,-0.9367683
